_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,article_id1,article_id2,comments,lesscredible,morecredible,result_article_comments_count1,result_article_comments_count2,result_article_keywords_count1,result_article_keywords_count2,result_article_nouns_count1,result_article_nouns_count2,result_article_numerical_count1,result_article_numerical_count2,result_article_publication_date1,result_article_publication_date2,result_article_punctuation_count1,result_article_punctuation_count2,result_article_uppercase_count1,result_article_uppercase_count2,result_article_wiki_entities_count1,result_article_wiki_entities_count2,result_article_word_count1,result_article_word_count2,result_sentiment1,result_sentiment2,same,what_article_is_more_credible,article_comments_count1,article_comments_count2,article_keywords_count1,article_keywords_count2,article_nouns_count1,article_nouns_count2,article_numerical_count1,article_numerical_count2,article_publication_date1,article_publication_date2,article_punctuation_count1,article_punctuation_count2,article_uppercase_count1,article_uppercase_count2,article_wiki_entities_count1,article_wiki_entities_count2,article_word_count1,article_word_count2,id1,id2,sentiment1,sentiment2,text1,text2
751583396,7/9/2015 02:13:49,1685291890,7/9/2015 02:12:51,false,neodev,0.5235,30321275,USA,NV,Las Vegas,192.30.80.4,558ead5a48d3e92012819891,558ead5a48d3e92012819813,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tweet1,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:16:28,1685293733,7/9/2015 02:16:16,false,clixsense,0.5229,30130805,USA,MI,Wyandotte,63.141.31.35,558ead5a48d3e92012819891,558ead5a48d3e92012819813,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,tweet1,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:21:26,1685297593,7/9/2015 02:21:05,false,elite,0.4499,31848723,USA,"","",155.94.185.158,558ead5a48d3e92012819891,558ead5a48d3e92012819813,This survey is good.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,same,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:33:45,1685307673,7/9/2015 02:33:32,false,prodege,0.5344,3587109,CAN,NS,Sydney,142.166.207.102,558ead5a48d3e92012819891,558ead5a48d3e92012819813,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tweet1,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:36:35,1685309964,7/9/2015 02:35:19,false,neodev,0.5058,31329809,USA,DE,Wilmington,162.223.93.194,558ead5a48d3e92012819891,558ead5a48d3e92012819813,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tweet1,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:44:09,1685315548,7/9/2015 02:43:15,false,neodev,0.6167,32775682,USA,TX,Dallas,74.63.242.182,558ead5a48d3e92012819891,558ead5a48d3e92012819813,yes that is right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tweet2,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583396,7/9/2015 02:59:18,1685328070,7/9/2015 02:58:02,false,tremorgames,0.2521,32840743,USA,NY,Bayside,71.167.187.67,558ead5a48d3e92012819891,558ead5a48d3e92012819813,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,same,0,0,0,10,45,62,12,5,2014-09-03T07:27:20Z,2014-01-06T11:58:17Z,32,43,63,87,78,74,381,439,558ead5a48d3e92012819891,558ead5a48d3e92012819813,0.0,-1.375,"TOKYO —  Japan is seeking international support for its plans to hunt minke whales in the Antarctic Ocean next year by scaling down the whaling research program the U.N. top court rejected earlier this year, fisheries officials said Wednesday. Whaling for research purposes is exempt from the 1986 international ban on commercial whaling, and Japan has conducted hunts in the Antarctic and Pacific on that basis.","At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica."
751583397,7/11/2015 08:49:58,1687193099,7/11/2015 08:48:56,false,prodege,0.7728,16878855,CAN,BC,Fort Saint John,216.232.161.75,558ead5a48d3e92012819813,558ead5a48d3e92012819855,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,same,0,0,10,2,62,109,5,12,2014-01-06T11:58:17Z,2010-03-13T00:00:00Z,43,60,87,133,74,111,439,578,558ead5a48d3e92012819813,558ead5a48d3e92012819855,-1.375,-1.625,"At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica.","TOKYO  — The Japanese Coast Guard on Friday arrested an anti-whaling activist from New Zealand who had boarded a whaling ship in the southern Antarctic last month. Peter Bethune, a member of the Sea Shepherd Conservation Society, was brought back to Tokyo by the whaling ship, the Shonan Maru 2,  after he boarded it without permission on Feb. 15."
751583397,7/11/2015 09:42:27,1687205608,7/11/2015 09:41:59,false,instagc,0.628,31130954,USA,IL,Bolingbrook,99.135.173.79,558ead5a48d3e92012819813,558ead5a48d3e92012819855,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tweet2,0,0,10,2,62,109,5,12,2014-01-06T11:58:17Z,2010-03-13T00:00:00Z,43,60,87,133,74,111,439,578,558ead5a48d3e92012819813,558ead5a48d3e92012819855,-1.375,-1.625,"At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica.","TOKYO  — The Japanese Coast Guard on Friday arrested an anti-whaling activist from New Zealand who had boarded a whaling ship in the southern Antarctic last month. Peter Bethune, a member of the Sea Shepherd Conservation Society, was brought back to Tokyo by the whaling ship, the Shonan Maru 2,  after he boarded it without permission on Feb. 15."
751583397,7/11/2015 11:50:19,1687240291,7/11/2015 11:50:03,false,zoombucks,0.625,4711962,CAN,ON,Markham,76.68.124.150,558ead5a48d3e92012819813,558ead5a48d3e92012819855,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tweet2,0,0,10,2,62,109,5,12,2014-01-06T11:58:17Z,2010-03-13T00:00:00Z,43,60,87,133,74,111,439,578,558ead5a48d3e92012819813,558ead5a48d3e92012819855,-1.375,-1.625,"At least three dead whales have been spotted aboard a Japanese vessel in the Southern Ocean. New Zealand's foreign minister condemned the whaling but disputed claims by conservation group Sea Shepherd that the fleet had been operating in New Zealand’s territorial waters, in the Ross Sea in Antarctica.","TOKYO  — The Japanese Coast Guard on Friday arrested an anti-whaling activist from New Zealand who had boarded a whaling ship in the southern Antarctic last month. Peter Bethune, a member of the Sea Shepherd Conservation Society, was brought back to Tokyo by the whaling ship, the Shonan Maru 2,  after he boarded it without permission on Feb. 15."
