effort,1,http://dbpedia.org/ontology/TopicalConcept,,
environmentalists,1,http://dbpedia.org/ontology/TopicalConcept,,
equipment,1,http://dbpedia.org/ontology/equipment,,
evidence,1,http://dbpedia.org/ontology/location,,
extinct,1,http://dbpedia.org/ontology/TopicalConcept,,
extinction,1,http://dbpedia.org/ontology/TopicalConcept,,
feces,1,http://dbpedia.org/ontology/TopicalConcept,,
fish stocks,1,http://dbpedia.org/ontology/TopicalConcept,,
Fisheries and Oceans Canada,1,http://dbpedia.org/ontology/Organisation,,
Food and Agriculture Organization,1,http://dbpedia.org/ontology/Organisation,,
freshwater,1,http://dbpedia.org/ontology/TopicalConcept,,
gray whale,1,http://dbpedia.org/ontology/Mammal,,
Greenpeace,1,http://dbpedia.org/ontology/Organisation,,
harvest,1,http://dbpedia.org/ontology/TopicalConcept,,
history,1,http://dbpedia.org/ontology/TopicalConcept,,
income,1,http://dbpedia.org/ontology/TopicalConcept,,
indigenous people,1,http://dbpedia.org/ontology/TopicalConcept,,
indigenous peoples,1,http://dbpedia.org/ontology/TopicalConcept,,
Indonesian,1,http://dbpedia.org/ontology/Language,,
Industrial,1,http://dbpedia.org/ontology/TopicalConcept,,
International Court of Justice,1,http://dbpedia.org/ontology/Organisation,,
journalists,1,http://dbpedia.org/ontology/TopicalConcept,,
Legal,1,http://dbpedia.org/ontology/TopicalConcept,,
minke whales,1,http://dbpedia.org/ontology/Mammal,,
Montreal,1,http://dbpedia.org/ontology/City,,
Morocco,1,http://dbpedia.org/ontology/Country,,
National Oceanic and Atmospheric Administration,1,http://dbpedia.org/ontology/Organisation,,
nations,1,http://dbpedia.org/ontology/Ship,,
Natives,1,http://dbpedia.org/ontology/TopicalConcept,,
natural resources,1,http://dbpedia.org/ontology/TopicalConcept,,
noise,1,http://dbpedia.org/ontology/TopicalConcept,,
Noise pollution,1,http://dbpedia.org/ontology/TopicalConcept,,
North Atlantic,1,http://dbpedia.org/ontology/location,,
Northeast,1,http://dbpedia.org/ontology/location,,
Norwegian,1,http://dbpedia.org/ontology/ethnicity,,
oil,1,http://dbpedia.org/ontology/TopicalConcept,,
Panama,1,http://dbpedia.org/ontology/Country,,
prehistoric times,1,http://dbpedia.org/ontology/Era,,
Ray,1,http://dbpedia.org/ontology/Fish,,
right whales,1,http://dbpedia.org/ontology/Mammal,,
Russia,1,http://dbpedia.org/ontology/Country,,
Russian Far East,1,http://dbpedia.org/ontology/location,,
Saint Vincent and the Grenadines,1,http://dbpedia.org/ontology/Country,,
scientific research,1,http://dbpedia.org/ontology/TopicalConcept,,
seal,1,http://dbpedia.org/ontology/Mammal,,
summer,1,http://dbpedia.org/ontology/season,,
supermarkets,1,http://dbpedia.org/ontology/TopicalConcept,,
territorial waters,1,http://dbpedia.org/ontology/location,,
Toronto,1,http://dbpedia.org/ontology/City,,
tourism,1,http://dbpedia.org/ontology/TopicalConcept,,
track,1,http://dbpedia.org/ontology/TopicalConcept,,
traditional diet,1,http://dbpedia.org/ontology/TopicalConcept,,
traditions,1,http://dbpedia.org/ontology/TopicalConcept,,
Treaty,1,http://dbpedia.org/ontology/TopicalConcept,,
tribe,1,http://dbpedia.org/ontology/TopicalConcept,,
Ulsan,1,http://dbpedia.org/ontology/City,,
United States of America,1,http://dbpedia.org/ontology/Country,,
van,1,http://dbpedia.org/ontology/City,,
Vancouver,1,http://dbpedia.org/ontology/City,,
Vikings,1,http://dbpedia.org/ontology/ethnicity,,
village,1,http://dbpedia.org/ontology/Building,,
whale hunt,1,http://dbpedia.org/ontology/TopicalConcept,,
Whale oil,1,http://dbpedia.org/ontology/TopicalConcept,,
whaling ships,1,http://dbpedia.org/ontology/Ship,,
World Wide Fund for Nature,1,http://dbpedia.org/ontology/Organisation,,
Reuters,1,http://dbpedia.org/ontology/Company,,
