id,credible_count,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
574895720072921088,10,1,0,0,0,0,2,0,0,4,1,1,0,1,1,0,0
574949540853383168,5,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
575245719113629699,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
575370548429086720,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
576021400823209984,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
576339934732111872,3,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0
576343799259111424,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
577238166370930688,7,0,2,0,0,0,1,0,0,0,0,2,2,2,0,5,0
577238844262723584,13,1,0,0,0,1,2,0,1,0,2,1,0,4,1,2,0
586272881572708352,10,0,2,0,0,0,1,1,0,3,1,1,0,7,0,0,0
587346294382977024,13,2,0,0,0,0,0,0,0,7,1,0,1,2,0,0,0
587471825874989056,9,0,0,0,0,1,0,0,0,5,1,1,0,1,0,0,0
587572701587501056,6,2,0,1,2,0,0,0,0,4,1,0,0,3,2,0,0
587628156422492160,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
587633591812689920,10,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0
587663274189033472,11,0,0,1,1,0,0,0,0,0,3,0,0,2,3,0,0
588711735382577152,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588952525648236544,14,6,0,0,3,0,0,0,0,4,2,1,2,5,4,0,0
589066107920744448,6,0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0
589269698987995136,12,1,1,1,0,1,0,0,0,6,2,3,0,3,3,0,0
589455575844409345,8,1,0,0,0,0,0,0,1,0,1,1,1,1,3,0,0
589596071434813441,7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,6
590331486445899776,14,2,0,1,5,1,1,0,0,6,2,2,1,5,1,5,5
590445554955587585,5,0,0,1,2,1,0,1,0,1,0,0,0,2,0,0,0
590588196112752640,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
590620080624553984,10,2,1,0,0,1,1,0,1,0,2,3,0,3,1,0,0
590782964872704000,9,1,1,0,3,0,0,0,1,2,2,2,0,1,3,0,0
590893488280993793,6,0,0,0,0,0,1,0,0,3,1,1,0,2,1,0,0
590906572185927680,5,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0
590948807501697024,8,1,0,2,0,0,0,0,0,0,3,1,1,0,3,0,0
590992953105063936,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
591508078345891840,9,0,0,1,0,0,0,1,1,0,3,1,0,1,4,0,0
591512886100365312,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
591647718826737664,5,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0
591678169398181889,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
592070725239853056,9,0,2,0,0,3,1,1,0,1,0,0,1,0,5,0,1
592822882939576320,11,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,5
593197701770129409,8,0,0,0,0,0,1,0,0,1,1,0,0,5,1,0,0
593222539939184640,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
593576929745211392,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
593735665919139840,11,4,0,2,1,0,0,0,1,1,0,0,0,3,1,0,0
594044812820492289,6,1,0,1,0,1,0,0,0,1,2,1,2,1,1,0,0
594104905486315521,5,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0
595014351955726337,8,3,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0
595780713770786817,13,0,3,2,0,0,1,0,0,6,1,0,0,3,2,0,0
596457968851267585,7,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
596885274807926785,7,1,1,1,0,0,1,1,2,0,2,1,1,2,1,0,1
597191554554568704,3,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
597238101933588482,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
597524866414161920,5,0,0,0,0,1,1,0,0,2,0,2,0,2,0,0,0
597525047243210752,10,0,0,3,0,1,0,0,0,0,2,1,0,0,1,2,0
597822920585510913,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
599823346201600000,13,0,0,1,0,0,1,0,0,0,0,2,0,8,0,0,0
600179403486728192,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
600585125756162048,7,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0
600699654624452609,6,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
600734372883464192,9,0,0,0,1,0,0,0,1,4,0,0,0,2,1,0,0
600895553686245378,6,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0
600920304576135168,11,1,0,0,0,1,0,0,0,1,0,0,0,5,0,2,0
600974643579719680,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
601016630613651461,6,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0
601017285520797697,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601160510495592448,7,0,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0
601161170779705344,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
601403922490601472,11,1,4,1,0,0,0,0,0,0,0,1,0,3,1,5,0
602650047151505408,12,1,0,0,5,1,0,0,0,7,2,1,0,3,1,0,0
602846841680592898,15,1,0,1,0,3,2,0,0,2,3,1,1,5,6,0,0
602847506725212162,10,2,2,0,0,1,0,0,0,3,4,1,0,3,4,0,0
603012537861480448,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
