label,count,positive,negative
NowPlaying Different Kong,1,0.0,0.0
The Ecologist,1,0.0,0.0
g+the+P,1,0.0,0.0
Frederique Olivier Japan,1,0.0,0.0
A+Whali,1,0.0,0.0
Ft.co%,1,0.0,0.0
bait,1,0.0,0.0
%7C+Asia+Pac,1,0.0,0.0
Weary,1,0.25,0.0
japan #whaling,1,0.0,0.0
We,1,0.0,0.0
Ken Doh,1,0.0,0.0
explain,1,0.25,0.0
here,1,0.0,0.0
ruling http,1,0.0,0.0
York,1,0.0,0.0
Awful Consequences,1,0.0,0.0
shrine,1,0.0,0.0
do,1,0.0,0.0
means,1,0.0,0.0
Keep,1,0.0,0.0
whalin,1,0.0,0.0
foremost,1,0.0,0.0
crewed,1,0.0,0.0
The Japan Times,1,0.0,0.0
cautionary,1,0.0,0.0
Larcenist,1,0.0,0.0
%0A,1,0.0,0.0
TIL,1,0.0,0.0
Part 2,1,0.0,0.0
Help,1,0.5,0.0
unconcocted answers,1,0.0,0.0
Washington,1,0.0,0.0
wanna go,1,0.0,0.0
Salt & Storm,1,0.0,0.0
Nakasaki,1,0.0,0.0
ohvaquer http,1,0.0,0.0
Frederique,1,0.0,0.0
Fox,1,0.0,0.0
Gladys Remler,1,0.0,0.0
n3News,1,0.0,0.0
sex,1,0.0,0.0
whaling+ship,1,0.0,0.0
sea,1,0.0,0.0
Whaling+Industry,1,0.0,0.0
International Pressure Really Keep Japan,1,0.0,0.0
g%29%3A+Impl,1,0.0,0.0
end.,1,0.0,0.0
i tried,1,0.0,0.0
Radio Australia,1,0.0,0.0
outside,1,0.0,0.0
Part,1,0.0,0.0
co%,1,0.0,0.0
2Ft.co%2F,1,0.0,0.0
hunt |,1,0.0,0.0
android,1,0.0,0.0
handful,1,0.0,0.125
Seaquarium,1,0.0,0.0
jFFyQ,1,0.0,0.0
jn,1,0.0,0.0
Bercaw,1,0.0,0.0
out+Antar,1,0.0,0.0
Whaling Fleet,1,0.0,0.0
Herald,1,0.0,0.0
Vote with your feet,1,0.0,0.0
Pledge,1,0.0,0.0
initiatory,1,0.0,0.0
wonderful Japanese,1,0.0,0.0
Whaling Tune,1,0.0,0.0
ASCold Whaling,1,0.0,0.0
tune in,1,0.0,0.0
seafood expo,1,0.0,0.0
Sag Harbor Express,1,0.0,0.0
e+Petition+Si,1,0.0,0.0
s a,1,0.0,0.0
unseal course,1,0.0,0.0
ns+%2,1,0.0,0.0
Kendell,1,0.0,0.0
speak,1,0.0,0.0
sail http,1,0.0,0.0
%2Fdg,1,0.0,0.0
Southern,1,0.0,0.0
quiz,1,0.0,0.0
LkUHmwA,1,0.0,0.0
pm,1,0.0,0.0
ing+-,1,0.0,0.0
sweetheart,1,0.0,0.0
Tomahawk Nation,1,0.0,0.0
Walking Tour,1,0.0,0.0
dismiss,1,0.0,0.0
laney,1,0.0,0.0
Resuming+Whale+Slaughter,1,0.0,0.0
photography http,1,0.0,0.0
ecologically sound,1,0.0,0.0
bout,1,0.0,0.0
Crowd-Funding,1,0.0,0.0
Local Crowd-Funding,1,0.0,0.0
Intl,1,0.0,0.0
in America,1,0.0,0.0
will,1,0.125,0.0
abou,1,0.0,0.0
nozomi,1,0.0,0.0
ed+To+Suspend+Controversial+Whaling+P,1,0.0,0.0
study,1,0.125,0.125
study number,1,0.0,0.0
NmBWq,1,0.0,0.0
priests,1,0.0,0.0
Japan+Times,1,0.0,0.0
Halt Antarctic Whaling,1,0.0,0.0
small bait,1,0.0,0.0
UN+Court,1,0.0,0.0
good,1,0.5,0.0
c+%7C+ABC+Radio+Aus,1,0.0,0.0
ready,1,0.0,0.25
You,1,0.0,0.0
Tell,1,0.0,0.0
Awesome Anti-Whaling Ship,1,0.0,0.0
Yahoo News Canada,1,0.0,0.0
Main,1,0.0,0.0
WildlifeNews,1,0.0,0.0
Oh,1,0.0,0.0
e+ICJ+Judgme,1,0.0,0.0
products,1,0.0,0.0
News NZ,1,0.0,0.0
/r,1,0.0,0.0
this summer,1,0.0,0.0
Tokio,1,0.0,0.0
Circuit Court,1,0.0,0.0
lobby space,1,0.0,0.0
ons+for+Internati,1,0.0,0.0
moving,1,0.0,0.0
News - More,1,0.0,0.0
yours,1,0.0,0.0
Japan Tsunami,1,0.0,0.0
1+%23,1,0.0,0.0
Eric Jay Dolin,1,0.0,0.0
i,1,0.0,0.0
other thievish,1,0.0,0.0
well,1,0.0,0.0
Ain,1,0.0,0.0
obCIs,1,0.0,0.0
ban verdict,1,0.0,0.0
interesting read,1,0.0,0.0
Can,1,0.0,0.0
way beyond,1,0.0,0.0
%40AliasHere+%40HuffPostPol+-+That%27s+what+you%27ll+find+off+the+coast+of+japan,1,0.0,0.0
Anti-Whaling Promise,1,0.0,0.0
OFFICE WORK,1,0.0,0.0
thanks,1,0.125,0.0
couch,1,0.0,0.0
LloydsList,1,0.0,0.0
new mission,1,0.0,0.0
upswing,1,0.0,0.0
entire,1,0.0,0.0
n+Austral,1,0.0,0.0
reasons,1,0.0,0.0
co%2Fzm,1,0.0,0.0
June 5,1,0.0,0.0
Japanese Whaling Ban Wont End,1,0.0,0.0
ForceChange PLZ SIGN,1,0.0,0.0
SO+via+%40Toda,1,0.0,0.0
same old slaughter,1,0.0,0.0
regard,1,0.0,0.0
Antarctic Whaling,1,0.0,0.0
Japan's,1,0.0,0.0
Tour,1,0.0,0.0
pan+%23Wh,1,0.0,0.0
T,1,0.0,0.0
Aid,1,0.0,0.25
co/vRPwCDZTGA http,1,0.0,0.0
vis,1,0.0,0.0
alterum,1,0.0,0.0
continue,1,0.0,0.0
2Fzl,1,0.0,0.0
bk5IO,1,0.0,0.0
Intl Court of Justice Rules Japan,1,0.0,0.0
old,1,0.0,0.0
Faroe+Islands,1,0.0,0.0
footage,1,0.0,0.0
Commission,1,0.0,0.0
lanthanum deuce,1,0.0,0.0
Discovery News,1,0.0,0.0
FilthyFrank Instructions,1,0.0,0.0
1XacfIEfsI+%,1,0.0,0.0
SIGN,1,0.0,0.0
PS4,1,0.0,0.0
p.m.,1,0.0,0.0
Kendell Kulper,1,0.0,0.0
back on,1,0.0,0.0
Chris,1,0.0,0.0
2015+%,1,0.0,0.0
cull policy http,1,0.0,0.0
haulage,1,0.0,0.0
REUTERS,1,0.0,0.0
Times,1,0.5,0.0
ok,1,0.0,0.0
SH Whaling Museum,1,0.0,0.0
Japan Stop Whaling,1,0.0,0.0
act,1,0.0,0.0
efforts,1,0.0,0.0
fleet enclave,1,0.0,0.0
Remler,1,0.0,0.0
News N,1,0.0,0.0
initiatory online bout,1,0.0,0.0
SPa ASSASSINS CREED,1,0.0,0.0
could it be,1,0.0,0.0
access san diego,1,0.0,0.0
Southern Oceans SEMINAR,1,0.0,0.0
Shrine,1,0.0,0.0
Gladys,1,0.0,0.0
Noles Florida State,1,0.0,0.0
class,1,0.0,0.0
co/fNTFBDHdry http,1,0.0,0.0
Law+and+Li,1,0.0,0.0
UANQ+,1,0.0,0.0
History of Whaling,1,0.0,0.0
compensate,1,0.0,0.0
That's what,1,0.0,0.0
buy,1,0.5,0.0
SagHarbor Tomorrow,1,0.0,0.0
ht,1,0.0,0.0
_org,1,0.0,0.0
a+Ha,1,0.0,0.0
RT Petition,1,0.0,0.0
Get Me,1,0.0,0.0
Save BioGems,1,0.0,0.0
line,1,0.0,0.0
Appeals,1,0.0,0.0
-+Slate+Magazi,1,0.0,0.0
It's time,1,0.0,0.0
UConnAveryPoint English,1,0.0,0.0
ruling,1,0.0,0.0
v4gHL,1,0.0,0.0
Sag Harbor Whaling Museum,1,0.0,0.0
Sea+Shepherd+Responds,1,0.0,0.0
v+Jap,1,0.0,0.0
Whale Wars,1,0.0,0.0
Thursday,1,0.0,0.0
Vancouver,1,0.0,0.0
Ta,1,0.0,0.0
Real,1,0.0,0.0
field,1,0.0,0.0
%3A+J,1,0.0,0.0
special,1,0.0,0.0
Discovery,1,0.0,0.0
@thecovenews,1,0.0,0.0
S_Foundati,1,0.0,0.0
kayak quiz show,1,0.0,0.0
%2F,1,0.0,0.0
Whaling in America,1,0.0,0.0
Ai,1,0.0,0.0
I wanna go,1,0.0,0.0
reception,1,0.5,0.0
