Fri Mar 13 11:35:40 +0000 2015,illegal
Fri Mar 13 11:35:40 +0000 2015,hapoonist_dot_
Fri Mar 13 12:09:40 +0000 2015,whaling
Fri Mar 13 12:09:40 +0000 2015,Whales Killed
Fri Mar 13 12:09:40 +0000 2015,whaling industry killed
Fri Mar 13 12:09:40 +0000 2015,Hunting
Fri Mar 13 12:09:40 +0000 2015,Toll of All the Whales Killed by Hunting
Fri Mar 13 12:34:15 +0000 2015,#whaling wiped out
Fri Mar 13 12:34:15 +0000 2015,Commercial #whaling
Fri Mar 13 12:34:15 +0000 2015,3 million
Fri Mar 13 12:34:15 +0000 2015,#whaling
Fri Mar 13 12:34:15 +0000 2015,#whaling wiped out almost 3 million animals
Fri Mar 13 12:40:37 +0000 2015,#whaling
Fri Mar 13 12:40:37 +0000 2015,Commercial #whaling wiped out almost 3 million animals
Fri Mar 13 13:56:10 +0000 2015,Makah Whaling – Whales Must Be Protected in U_dot_S_dot_ Waters
Fri Mar 13 13:56:10 +0000 2015,Whaling
Fri Mar 13 15:00:40 +0000 2015,#Whaling Slaughter Tallied at 3 Million
Fri Mar 13 15:00:40 +0000 2015,#Whaling Slaughter
Fri Mar 13 15:00:40 +0000 2015,Slaughter Tallied at 3 Million
Fri Mar 13 15:00:40 +0000 2015,#Whaling
Fri Mar 13 15:00:40 +0000 2015,#whales #crueltyforprofit
Fri Mar 13 16:35:10 +0000 2015,whaling
Fri Mar 13 16:35:10 +0000 2015,online whaling petition
Fri Mar 13 17:11:15 +0000 2015,"""Whaling in Japan"
Fri Mar 13 17:11:15 +0000 2015,Whaling
Fri Mar 13 17:11:15 +0000 2015,Japan
Fri Mar 13 17:42:55 +0000 2015,3 million
Fri Mar 13 17:42:55 +0000 2015,whaling industry
Fri Mar 13 17:43:57 +0000 2015,Japan's
Fri Mar 13 17:43:57 +0000 2015,whaling
Fri Mar 13 17:43:57 +0000 2015,whaling program
Fri Mar 13 17:43:57 +0000 2015,Struggle to rein in Japan's plans
Fri Mar 13 17:43:57 +0000 2015,Struggle to rein in Japan's plans for a new 'scientific' whaling program
Fri Mar 13 18:01:06 +0000 2015,whaling
Mon Mar 09 00:00:11 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 00:00:11 +0000 2015,"#Japan needs to stop killing #Whales_dot_
The"
Mon Mar 09 00:00:11 +0000 2015,"stop killing #Whales_dot_
The"
Mon Mar 09 00:00:11 +0000 2015,"killing #Whales_dot_
The"
Mon Mar 09 00:00:11 +0000 2015,#Japan
Mon Mar 09 00:00:11 +0000 2015,#Japan needs to stop killing
Mon Mar 09 00:00:11 +0000 2015,Japanese Whaling
Mon Mar 09 00:00:13 +0000 2015,#Japan needs
Mon Mar 09 00:00:13 +0000 2015,Whaling
Mon Mar 09 00:00:13 +0000 2015,#Japan
Mon Mar 09 00:00:13 +0000 2015,"stop killing #Whales_dot_
The"
Mon Mar 09 00:00:13 +0000 2015,"killing #Whales_dot_
The"
Mon Mar 09 00:00:13 +0000 2015,Japanese Whaling
Mon Mar 09 00:06:19 +0000 2015,"#Japan needs to stop killing #Whales_dot_
The"
Mon Mar 09 00:06:19 +0000 2015,"killing #Whales_dot_
The"
Mon Mar 09 00:06:19 +0000 2015,Big Lie Behind Japanese Whaling
Mon Mar 09 00:06:19 +0000 2015,#Japan
Mon Mar 09 00:06:19 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 00:06:19 +0000 2015,stop killing
Mon Mar 09 00:06:19 +0000 2015,Japanese Whaling
Mon Mar 09 00:39:25 +0000 2015,"#Japan needs to stop killing #Whales_dot_
The"
Mon Mar 09 00:39:25 +0000 2015,"stop killing #Whales_dot_
The"
Mon Mar 09 00:39:25 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 00:39:25 +0000 2015,#Japan
Mon Mar 09 00:39:25 +0000 2015,"killing #Whales_dot_
The"
Mon Mar 09 00:39:25 +0000 2015,Japanese Whaling
Mon Mar 09 01:33:15 +0000 2015,pressure
Mon Mar 09 01:33:15 +0000 2015,stop whaling
Mon Mar 09 01:33:15 +0000 2015,Japan to stop whaling
Mon Mar 09 01:33:15 +0000 2015,Japan
Mon Mar 09 01:33:15 +0000 2015,whaling
Mon Mar 09 01:33:15 +0000 2015,Keeping
Mon Mar 09 01:33:15 +0000 2015,Keeping the pressure on Japan to stop whaling
Mon Mar 09 02:18:57 +0000 2015,Japan's
Mon Mar 09 02:18:57 +0000 2015,IWC
Mon Mar 09 02:18:57 +0000 2015,whaling
Mon Mar 09 02:18:57 +0000 2015,Demand the IWC stands firm against Japan's attempts to continue whaling
Mon Mar 09 02:18:57 +0000 2015,Japan's attempts to continue whaling
Mon Mar 09 02:18:57 +0000 2015,attempts to continue whaling
Mon Mar 09 02:18:57 +0000 2015,against Japan's
Mon Mar 09 03:13:29 +0000 2015,"#Japan needs to stop killing #Whales_dot_
The"
Mon Mar 09 03:13:29 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 03:13:29 +0000 2015,stop killing
Mon Mar 09 03:13:29 +0000 2015,#Japan
Mon Mar 09 03:13:29 +0000 2015,Japanese Whaling
Mon Mar 09 03:42:38 +0000 2015,whaling
Mon Mar 09 03:42:38 +0000 2015,Will Makah whaling return? New federal study proposes as many as 24 kills within 6-year period_dot_
Mon Mar 09 03:42:38 +0000 2015,Makah whaling return?
Mon Mar 09 04:01:27 +0000 2015,whaling
Mon Mar 09 04:01:27 +0000 2015,whales
Mon Mar 09 06:24:35 +0000 2015,end whaling
Mon Mar 09 06:24:35 +0000 2015,whale
Mon Mar 09 06:24:35 +0000 2015,whaling
Mon Mar 09 06:24:35 +0000 2015,whale watching
Mon Mar 09 09:42:27 +0000 2015,whaling boat_dot_
Mon Mar 09 09:42:27 +0000 2015,use_dot_
Mon Mar 09 09:42:27 +0000 2015,whaling
Mon Mar 09 09:42:27 +0000 2015,no longer
Mon Mar 09 13:47:48 +0000 2015,whaling
Mon Mar 09 13:47:48 +0000 2015,barbaric 'scientific'
Mon Mar 09 13:47:48 +0000 2015,scientific' whaling
Mon Mar 09 13:47:48 +0000 2015,whaling in Antarctica by the Japanese
Mon Mar 09 13:50:25 +0000 2015,whale watch industry
Mon Mar 09 13:50:25 +0000 2015,@WHALES_org:
Mon Mar 09 13:50:25 +0000 2015,whale watch
Mon Mar 09 13:50:25 +0000 2015,whale watch industry is vital
Mon Mar 09 13:50:25 +0000 2015,supporting Iceland's whale watch industry
Mon Mar 09 13:50:25 +0000 2015,supporting Iceland's whale watch industry is vital for ending whaling
Mon Mar 09 13:50:25 +0000 2015,ending whaling
Mon Mar 09 13:59:02 +0000 2015,scientific whaling'
Mon Mar 09 13:59:02 +0000 2015,urge Japan to end 'scientific whaling'
Mon Mar 09 13:59:02 +0000 2015,Japan to end 'scientific whaling'
Mon Mar 09 13:59:02 +0000 2015,whaling'
Mon Mar 09 13:59:02 +0000 2015,Japan
Mon Mar 09 14:04:12 +0000 2015,Iceland's whale watch industry is vital for ending whaling
Mon Mar 09 14:09:48 +0000 2015,scientific whaling'
Mon Mar 09 14:09:48 +0000 2015,urge Japan to end 'scientific whaling'
Mon Mar 09 14:09:48 +0000 2015,Japan to end 'scientific whaling'
Mon Mar 09 14:09:48 +0000 2015,whaling'
Mon Mar 09 14:39:08 +0000 2015,Great Current Whaling Nations
Mon Mar 09 14:39:08 +0000 2015,Whaling
Mon Mar 09 15:06:11 +0000 2015,whaling
Mon Mar 09 15:06:11 +0000 2015,About to begin whaling
Mon Mar 09 15:33:22 +0000 2015,Japan's
Mon Mar 09 15:33:22 +0000 2015,Japan's 'Scientific' Whaling: NOT FOR PURPOSES OF SCIENTIFIC RESEARCH
Mon Mar 09 15:33:22 +0000 2015,Japan's 'Scientific' Whaling:
Mon Mar 09 15:33:22 +0000 2015,Japan's 'Scientific' Whaling: NOT FOR PURPOSES OF SCIENTIFIC RESEARCH (IJC Ruled)
Mon Mar 09 15:33:22 +0000 2015,Whaling:
Mon Mar 09 15:38:40 +0000 2015,whaling
Mon Mar 09 15:38:40 +0000 2015,"IWC is not about sustainable hunting, but conservation_dot_"
Mon Mar 09 15:38:40 +0000 2015,Canada is the only major whaling nation that left IWC_dot_
Mon Mar 09 15:54:31 +0000 2015,Whaling
Mon Mar 09 15:54:31 +0000 2015,Whaling fleet experts
Mon Mar 09 16:29:52 +0000 2015,whaling
Mon Mar 09 18:46:22 +0000 2015,whaling
Mon Mar 09 18:46:22 +0000 2015,whale watch industry
Mon Mar 09 18:46:22 +0000 2015,@WHALES_org: Support or boycott?
Mon Mar 09 18:46:22 +0000 2015,whale watch
Mon Mar 09 18:46:22 +0000 2015,ending whaling
Mon Mar 09 18:46:22 +0000 2015,watch industry
Mon Mar 09 18:57:18 +0000 2015,"""Dolphin"
Mon Mar 09 18:57:18 +0000 2015,"""Dolphin is more important than pet animals""
""Dolphin is my family""
Japanese cannot understand anti-whaling-men_dot_#tweet4ta"
Mon Mar 09 18:57:18 +0000 2015,"animals""
""Dolphin"
Mon Mar 09 18:57:18 +0000 2015,"family""
Japanese cannot understand anti-whaling-men_dot_#tweet4ta"
Mon Mar 09 18:57:18 +0000 2015,"family""
Japanese"
Mon Mar 09 18:57:18 +0000 2015,"""Dolphin is more important"
Mon Mar 09 18:57:18 +0000 2015,anti-whaling-men_dot_#tweet4ta
Mon Mar 09 21:15:35 +0000 2015,Whaling
Mon Mar 09 21:15:35 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 21:15:35 +0000 2015,Japanese Whaling
Mon Mar 09 21:15:35 +0000 2015,Big Lie Behind Japanese Whaling
Mon Mar 09 21:15:35 +0000 2015,"killing #Whales_dot_
The"
Mon Mar 09 21:15:35 +0000 2015,@SavetheDolphin1:
Mon Mar 09 21:15:35 +0000 2015,"stop killing #Whales_dot_
The"
Mon Mar 09 21:15:35 +0000 2015,#Japan needs to stop killing
Mon Mar 09 21:15:35 +0000 2015,"#Whales_dot_
The Big Lie Behind Japanese Whaling"
Mon Mar 09 21:15:35 +0000 2015,#Japan
Mon Mar 09 21:23:24 +0000 2015,@SeaWorld
Mon Mar 09 21:23:24 +0000 2015,Japanese whaling ships!!!!!!!
Mon Mar 09 21:23:24 +0000 2015,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
Mon Mar 09 21:23:24 +0000 2015,Japanese whaling
Mon Mar 09 21:58:14 +0000 2015,"#Whales_dot_
The"
Mon Mar 09 21:58:14 +0000 2015,Whaling
Mon Mar 09 21:58:14 +0000 2015,"stop killing #Whales_dot_
The"
Mon Mar 09 21:58:14 +0000 2015,#Japan
Mon Mar 09 21:58:14 +0000 2015,Japanese Whaling
Mon Mar 09 21:59:45 +0000 2015,balanced arguments about whaling_dot_
Mon Mar 09 21:59:45 +0000 2015,#againstwhaling
Mon Mar 09 21:59:45 +0000 2015,arguments about whaling_dot_
